,geometry,meanNDVI,meanSAVI,meanEVI,meanARVI,meanGNDVI,meanNDCI,meanNPCRI,meanPSRI,meanBSI,meanNDMI,meanNDWI
190,"POLYGON ((80.06560110108225 12.81128784847614, 80.06610110108225 12.81128784847614, 80.06610110108225 12.81078784847614, 80.06560110108225 12.81078784847614, 80.06560110108225 12.81128784847614))",0.4236236629530335,0.6048053628480565,1.435737272764892,0.41976927760244104,0.32990762473202745,0.2634595805596652,0.1172029425855025,0.08993982723769535,-0.19248791092799328,0.34366146187112856,-0.32990762473202745
191,"POLYGON ((80.06560110108225 12.81078784847614, 80.06610110108225 12.81078784847614, 80.06610110108225 12.81028784847614, 80.06560110108225 12.81028784847614, 80.06560110108225 12.81078784847614))",0.520156148839455,0.7426256711968477,1.7531040237133262,0.5176107147974279,0.4236751577466491,0.31020003560702547,0.10872724325155386,0.07078025703690566,-0.24882376289967736,0.39092895649744086,-0.4236751577466491
192,"POLYGON ((80.06560110108225 12.81028784847614, 80.06610110108225 12.81028784847614, 80.06610110108225 12.80978784847614, 80.06560110108225 12.80978784847614, 80.06560110108225 12.81028784847614))",0.2955261715984385,0.42191026583690316,0.7588707221104226,0.28662009097444047,0.2526505439756617,0.21560462226070906,0.19661741246476652,0.18144896574511268,-0.1641781566524555,0.3938753332459132,-0.2526505439756617
193,"POLYGON ((80.06560110108225 12.80978784847614, 80.06610110108225 12.80978784847614, 80.06610110108225 12.80928784847614, 80.06560110108225 12.80928784847614, 80.06560110108225 12.80978784847614))",0.5296566442813105,0.7562053191560003,1.6499999597869135,0.525618454008597,0.437284823110204,0.32289912632840756,0.11759037467352956,0.09112993718117851,-0.23840320733617223,0.376579834789989,-0.437284823110204
194,"POLYGON ((80.06560110108225 12.80928784847614, 80.06610110108225 12.80928784847614, 80.06610110108225 12.80878784847614, 80.06560110108225 12.80878784847614, 80.06560110108225 12.80928784847614))",0.6038627820831798,0.8621483576596133,1.9729319632856581,0.6021629249431238,0.49640867487028717,0.3342742848462505,0.0927891166747024,0.05095023870421182,-0.2592215942550557,0.36883472787792737,-0.49640867487028717
195,"POLYGON ((80.06560110108225 12.80878784847614, 80.06610110108225 12.80878784847614, 80.06610110108225 12.80828784847614, 80.06560110108225 12.80828784847614, 80.06560110108225 12.80878784847614))",0.6109705180335747,0.8722906618019916,2.0304630584448544,0.6096359534587279,0.5050115478999484,0.3330147276751036,0.09003718740020551,0.045374788968084626,-0.23771874112356559,0.3346033270096278,-0.5050115478999484
196,"POLYGON ((80.06560110108225 12.80828784847614, 80.06610110108225 12.80828784847614, 80.06610110108225 12.80778784847614, 80.06560110108225 12.80778784847614, 80.06560110108225 12.80828784847614))",0.5988821581070731,0.8550263597642362,2.0803240988697285,0.5975729593348317,0.4820201512764743,0.34799858712072207,0.0809117198607309,0.04224121081244289,-0.26175964158085013,0.37111369180858234,-0.4820201512764743
197,"POLYGON ((80.06560110108225 12.80778784847614, 80.06610110108225 12.80778784847614, 80.06610110108225 12.80728784847614, 80.06560110108225 12.80728784847614, 80.06560110108225 12.80778784847614))",0.35032772873165047,0.5001543032534504,0.9519400127664626,0.3432094440477781,0.29367363691386944,0.23696930288103735,0.18190269533941675,0.16030161901755594,-0.21029244242522702,0.44173265898732683,-0.29367363691386944
198,"POLYGON ((80.06560110108225 12.80728784847614, 80.06610110108225 12.80728784847614, 80.06610110108225 12.80678784847614, 80.06560110108225 12.80678784847614, 80.06560110108225 12.80728784847614))",0.48849081292148566,0.6974295199238162,1.4389800333750413,0.48439352526238266,0.4168672302573636,0.28289122005935097,0.14934662120899295,0.10188735875231027,-0.18780083850208087,0.3231981918992123,-0.4168672302573636
199,"POLYGON ((80.06560110108225 12.80678784847614, 80.06610110108225 12.80678784847614, 80.06610110108225 12.80628784847614, 80.06560110108225 12.80628784847614, 80.06560110108225 12.80678784847614))",0.3633304120268937,0.5187117092728055,1.2019354881031974,0.35816749230692113,0.2945783864527,0.22770754653509342,0.13791069454738927,0.1136493556515898,-0.17440355578759045,0.3495735877104859,-0.2945783864527
200,"POLYGON ((80.06560110108225 12.80628784847614, 80.06610110108225 12.80628784847614, 80.06610110108225 12.80578784847614, 80.06560110108225 12.80578784847614, 80.06560110108225 12.80628784847614))",0.383180139388664,0.5470354430014708,1.4283124399500409,0.37923262568196675,0.2934080709123167,0.244438764377274,0.1084723442263467,0.08669365053292587,-0.16131617622661004,0.30428230469986034,-0.2934080709123167
201,"POLYGON ((80.06560110108225 12.80578784847614, 80.06610110108225 12.80578784847614, 80.06610110108225 12.80528784847614, 80.06560110108225 12.80528784847614, 80.06560110108225 12.80578784847614))",0.3283039760112497,0.46871163805695687,0.8847142459254012,0.32025728290539573,0.2901525321546482,0.23046319218340092,0.18197069362862497,0.1674210278256946,-0.19920736931662136,0.4378547952893583,-0.2901525321546482
202,"POLYGON ((80.06560110108225 12.80528784847614, 80.06610110108225 12.80528784847614, 80.06610110108225 12.80478784847614, 80.06560110108225 12.80478784847614, 80.06560110108225 12.80528784847614))",0.36710604869263197,0.5241079328431625,0.9019541258621298,0.35953499977016296,0.31779545674852105,0.23317011487275968,0.20936285530806517,0.1684203029939735,-0.21314980238266532,0.4538522073432478,-0.31779545674852105
