,geometry,JAN01,JAN06,JAN11,JAN16,JAN21,JAN26,JAN31,FEB05,FEB10,FEB15,FEB20,FEB25,MAR01,MAR06,MAR11,MAR16,MAR21,MAR26,MAR31,APR05,APR10,APR15,APR20,APR25,APR30,MAY05,MAY10,MAY15,MAY20,MAY25,MAY30,JUN04,JUN09,JUN14,JUN19,JUN24,JUN29,JUL04
171,"POLYGON ((80.06510110108226 12.80728784847612, 80.06560110108227 12.80728784847612, 80.06560110108227 12.80678784847612, 80.06510110108226 12.80678784847612, 80.06510110108226 12.80728784847612))",-0.02230478419896421,0.30531125247137325,0.3933625692990463,0.4203327871128438,0.35598247155781937,0.5411725993339024,0.4122701256621423,0.368462936405219,0.020187791200622508,0.4137423635241993,0.3637933680235584,0.5643777462371751,0.5982071419510765,0.14252611495957238,0.03553936862889461,0.6503606777650136,0.8701245874460539,0.7925473282407041,0.7410514699084012,0.3742185153411649,0.7041809725391024,0.695705748092286,0.5193074519858122,0.3843968521022373,0.415318308277816,0.39481414233562895,0.2512002097123278,0.12314111936928145,0.1775813489354272,-0.003810369417004,0.17238371881453585,0.1843718612079723,0.06441612304045563,0.2587034905194368,0.2720727131468609,0.5005915026547557,0.031969009708606604,0.05891958012227485
172,"POLYGON ((80.06510110108226 12.80678784847612, 80.06560110108227 12.80678784847612, 80.06560110108227 12.80628784847612, 80.06510110108226 12.80628784847612, 80.06510110108226 12.80678784847612))",-0.03482942223069944,0.198759465092244,0.2748698653725854,0.3039485548271972,0.2353463701162132,0.5346658737568593,0.4571362385283498,0.6894777100038525,0.028549361319491907,0.7346338780700268,0.5433915262647084,0.6607450152124578,0.6910583706470279,0.16764504354169796,0.0419204831842057,0.6888599418982839,0.8798505321482317,0.7665019788796422,0.6972378003541417,0.3532467203853705,0.5933729634366103,0.5026804792153238,0.3129996823271876,0.3018237035412033,0.22085656308375487,0.18853792997566896,0.19711285237921555,0.11112041122625692,0.16383458442023213,0.0219436209468316,0.09576758845019676,0.11605672875742427,0.06476954391674837,0.2386931441137479,0.3789237582171087,0.5661085111077566,0.03221518591757362,0.062045015814306964
173,"POLYGON ((80.06510110108226 12.80628784847612, 80.06560110108227 12.80628784847612, 80.06560110108227 12.80578784847612, 80.06510110108226 12.80578784847612, 80.06510110108226 12.80628784847612))",-0.04556063894539119,0.187690408826632,0.31409913529280153,0.3904394556873142,0.18688198160243485,0.5746453575118704,0.4761118087800979,0.7335396280377977,0.021277056097896197,0.7282930578237177,0.4439862966457596,0.6419406621093415,0.582052244919734,0.17512557990388178,0.03080479806212423,0.6823945613187851,0.8778394821394995,0.7589475794025164,0.7005738521646487,0.4340682327007749,0.6023240717992733,0.5417441270091695,0.4010389965483613,0.330745269201185,0.2264318653860449,0.2178814790684508,0.2040283664753688,0.1371264127255576,0.19013291528011908,-0.0017381363895801133,0.27238731340263794,0.24832208701104985,0.06241887317467475,0.309326931228182,0.4736383935427544,0.6238826405173616,0.032998274266207835,0.0611293799940772
174,"POLYGON ((80.06510110108226 12.80578784847612, 80.06560110108227 12.80578784847612, 80.06560110108227 12.80528784847612, 80.06510110108226 12.80528784847612, 80.06510110108226 12.80578784847612))",-0.04280190104855769,0.3398717444997368,0.3956488390125309,0.3259872990956577,0.1514189344699428,0.3603770222161569,0.3420630364201048,0.5691753206703729,0.012909244390910592,0.612088543360633,0.2726126368047569,0.6362413747020464,0.5114376984772487,0.11993505102429823,0.019563329298008483,0.6515057113891465,0.9030951400992488,0.7764184781054748,0.7130435960786671,0.15938466588745914,0.6858244823619477,0.6696160510767268,0.5899576705425182,0.3681088931655931,0.4247448231571371,0.3460752958340529,0.19726267424889585,0.11121909109000214,0.17133011505248852,-0.025981665461409703,0.27521594253877857,0.3430685812829889,0.062377554702423635,0.2722362396762396,0.31654428353612074,0.39220858930011215,0.032977426672775534,0.05996258346379086
175,"POLYGON ((80.06510110108226 12.80528784847612, 80.06560110108227 12.80528784847612, 80.06560110108227 12.80478784847612, 80.06510110108226 12.80478784847612, 80.06510110108226 12.80528784847612))",-0.031766505577547274,0.25367023745718714,0.262449480563945,0.4037697862172593,0.3823637917832178,0.5856281688043833,0.520168397590028,0.7445338035614268,0.016462239875625492,0.7263923432106709,0.23212075706347454,0.6892559418309081,0.5025677355236193,0.3215178414567019,0.01968502669697837,0.5619882973790608,0.7864287591376677,0.6391450049437762,0.5526138563505186,0.018235384094361318,0.5064595031139706,0.4758286887658658,0.4279024266162799,0.2855329385999543,0.3372490677937621,0.3142500596367557,0.20305396987556368,0.11797462624750127,0.1599734119028718,-0.0051534545104983285,0.25549904993875544,0.3423567805439209,0.06252754997556051,0.3961115414671506,0.5133197784121883,0.6484236398738282,0.03187050276263958,0.0603712559059445
176,"POLYGON ((80.06510110108226 12.80478784847612, 80.06560110108227 12.80478784847612, 80.06560110108227 12.80447662755882, 80.06510110108226 12.8046341618054, 80.06510110108226 12.80478784847612))",-0.031595184747931625,0.3780798784736436,0.5087710928263048,0.5685222655278591,0.4990807729880764,0.549943522276055,0.4884041902297832,0.5427553152494693,-0.003926699882229524,0.4683729760497638,0.16980016966476733,0.4432370224551533,0.3559515879990328,0.28226942839075114,0.004873124367477754,0.3335555465898233,0.4468922096634247,0.3901967322526986,0.3998227214597841,0.023777847292850814,0.43551408465979374,0.3978649121932897,0.3842737163317833,0.2789839785911811,0.3763258098614585,0.3709213870440205,0.3331876329606608,0.15023541667256687,0.20665025661564515,0.003519704897648018,0.3323595922076004,0.34422551775123955,0.06138978621819144,0.4148883435319793,0.5069342269767139,0.4687789388229869,0.029712845627526283,0.06001670732587499
177,"POLYGON ((80.06610110108227 12.81743707727078, 80.06610110108227 12.81728784847613, 80.06560110108227 12.81728784847613, 80.06560110108227 12.81741176081509, 80.06610110108227 12.81743707727078))",-0.03264230994671373,0.6361621247506527,0.5823583024530941,0.5266380160737129,0.5991900796432477,0.5122037525247431,0.21401424106037836,0.5286702327664969,0.4241169413557916,0.4516915150862939,0.2968345515810142,0.4773237674535606,0.4701583438283548,0.3038571424312097,0.5288273304169492,0.3851019648399943,0.3818536499995069,0.3308656968154151,0.407507650670204,-0.021683497799335528,0.5162202040971712,0.4364890751238191,0.11943538627221875,0.26217665670470713,0.4633115040234358,0.02340198371546292,0.5531121744692069,0.07093312404850964,0.2522900809961451,0.36263377979957856,0.41952653948683294,0.24731173810203624,0.06569672618873974,0.3697206720274057,0.5209286258906618,0.30343254770619377,0.03576875248667307,0.04846823931183472
178,"POLYGON ((80.06560110108227 12.81728784847613, 80.06610110108227 12.81728784847613, 80.06610110108227 12.81678784847613, 80.06560110108227 12.81678784847613, 80.06560110108227 12.81728784847613))",-0.04761910431195849,0.44654846550515004,0.3900363801131173,0.4321586744312895,0.4207688515220003,0.4381909047478635,0.2645019670340789,0.4191608622730563,0.3018993031830603,0.4009464941019367,0.2699701933265819,0.3438437721971805,0.286553739594906,0.2259049483242759,0.3320313972104565,0.3188181854622746,0.31107892128307263,0.2995435021834453,0.3022322601086476,-0.007386212551768916,0.334671707254754,0.3267184825815154,0.13909844972492874,0.2572041994517381,0.3098215771067971,0.017049011237210858,0.3086916591245477,0.09955265298935996,0.2116596682987273,0.27112181495253296,0.2834071689749948,0.2840654481481829,0.06494871986056501,0.2982043825783409,0.305210005655178,0.3514254960881267,0.03641220285626832,0.047935504685242526
179,"POLYGON ((80.06560110108227 12.81678784847613, 80.06610110108227 12.81678784847613, 80.06610110108227 12.81628784847613, 80.06560110108227 12.81628784847613, 80.06560110108227 12.81678784847613))",-0.01802432150725976,0.428890456661824,0.3609943211588908,0.4432734592149298,0.4271157752399039,0.4480743652797503,0.3105947563847301,0.4181521493542251,0.29086712822910804,0.3879318497272488,0.2591841339956644,0.3166197280316391,0.3069798946079089,0.21886269787965149,0.3150833573677265,0.2963041739689977,0.28530941141072913,0.27049233002278,0.27670342214593474,-0.016967153239678408,0.2838249878548444,0.26891025351341513,0.08716233314207728,0.22108993564412716,0.2597583593388329,0.01458040890122049,0.25030101678204475,0.12862911114158698,0.19638634333684,0.25611157484853275,0.24595145175207545,0.2482341862094733,0.06552571589995021,0.2573473972847306,0.2645667650405603,0.3479556448221473,0.039090176484305315,0.04626758124229013
180,"POLYGON ((80.06560110108227 12.81628784847613, 80.06610110108227 12.81628784847613, 80.06610110108227 12.81578784847613, 80.06560110108227 12.81578784847613, 80.06560110108227 12.81628784847613))",-0.041059794310157584,0.5563613036019442,0.3572035658696789,0.610974340011568,0.6015609069165324,0.586251937312933,0.29446420064588696,0.488520472990978,0.32890137247104434,0.4130999676331625,0.2270872524728172,0.25927167525186595,0.2953106004619223,0.2034959198062389,0.291159143669344,0.3318470681565478,0.312192427919201,0.30909195984860194,0.2984804202420789,-0.01978662535151674,0.2919135734381184,0.26902153569988824,0.05125873969848771,0.2110043155730568,0.1982775019067238,0.0797340865760502,0.21205647116892265,0.06512673257221509,0.18955490854986146,0.2647296512831595,0.2886798905658819,0.4587330066218665,0.06600412098864324,0.5230574124271923,0.4338058652034839,0.5342020793189081,0.040298588205335564,0.05063291287221962
181,"POLYGON ((80.06560110108227 12.81578784847613, 80.06610110108227 12.81578784847613, 80.06610110108227 12.81528784847613, 80.06560110108227 12.81528784847613, 80.06560110108227 12.81578784847613))",-0.010089421307316113,0.6574324599193014,0.19559458183062067,0.7403525709808761,0.7580463970825678,0.7243241516468599,0.4813049540602464,0.631608809458161,0.4135807073554051,0.5155287385335502,0.25595536396512514,0.3471856595335457,0.3628391325338447,0.2286314819890455,0.3731837755113711,0.4156971875208758,0.40434835491886223,0.3673236992426982,0.3267762751686103,-0.027250264616399556,0.2982744218972592,0.26321912673915737,0.16724620042658198,0.21198846750765915,0.18573968305883864,0.1284409086839146,0.2215993843461688,0.015387482757134774,0.21427845839075105,0.3601437367765848,0.4850608021022898,0.6711998301522324,0.06499724764060352,0.6849200577655018,0.6938294102373532,0.7473898611817725,0.039087481773259464,0.06226621913902771
182,"POLYGON ((80.06560110108227 12.81528784847613, 80.06610110108227 12.81528784847613, 80.06610110108227 12.81478784847613, 80.06560110108227 12.81478784847613, 80.06560110108227 12.81528784847613))",-0.01826259474404549,0.6059161861197395,0.1193326925475508,0.6867011885471516,0.7005659238046428,0.6837654095245107,0.4693331344389834,0.6425755824447584,0.436606966159373,0.5655266282590723,0.19914454442541574,0.425330764802664,0.419932669062672,0.2409876675805201,0.3954593476891897,0.4160873155813245,0.4336174343792533,0.4157666557710561,0.3932766317935472,-0.0037511634822572975,0.43088707208839866,0.4287263736910546,0.13344971338112704,0.3013967059555652,0.3697933310365004,0.16973717172868014,0.2471437636493032,0.021287242692477882,0.26506397667419085,0.4681292502074279,0.5311898569166273,0.6819117494483692,0.06360039534240915,0.7143785199809767,0.7010474826298042,0.7601569062474973,0.03874334680575687,0.0625605234902392
183,"POLYGON ((80.06560110108227 12.81478784847613, 80.06610110108227 12.81478784847613, 80.06610110108227 12.81428784847613, 80.06560110108227 12.81428784847613, 80.06560110108227 12.81478784847613))",-0.02481225429638893,0.6901127981095159,0.11784850205999703,0.7418028902842925,0.7245016092338347,0.6922114093970719,0.4929767536521023,0.5908070676519707,0.4068853742887205,0.5137521965034652,0.18783702025765492,0.4790820069714071,0.4821022013659126,0.28705324578456026,0.4990905826442936,0.4826499059677581,0.5764914597395118,0.5588322503269253,0.6111398332140482,-0.02537319849344173,0.6689830549932869,0.6831354780597912,0.05756150311067814,0.4382573390778269,0.5748760308433927,0.1660702842113103,0.3286927812925048,0.019450019411742174,0.2409944405881989,0.3535882093913645,0.3725131784081015,0.3936251178276156,0.06442631162190697,0.4276900610844103,0.4367538107761335,0.5204070575388989,0.03845420879866091,0.057235550033430824
184,"POLYGON ((80.06560110108227 12.81428784847613, 80.06610110108227 12.81428784847613, 80.06610110108227 12.81378784847613, 80.06560110108227 12.81378784847613, 80.06560110108227 12.81428784847613))",-0.013302814204151121,0.6649737839955969,0.0994675524663476,0.7603604192769796,0.7462334229065192,0.7735892177113357,0.5564182152433353,0.7531357095145127,0.4972113920714885,0.6732608372613034,0.2439251080019401,0.6317250620254853,0.6007292745275447,0.34754997673670196,0.6020581908502077,0.5758883021883642,0.6206522478631109,0.5443115279437112,0.5546519812072513,-0.059559192137669276,0.5775978815367583,0.5948216499287555,0.02473842773481049,0.3715141348725495,0.515069728855143,0.19976334614045432,0.14634696161907018,0.015369979838234656,0.239285248690688,0.37514325053035774,0.3978295822130637,0.4495486964408621,0.06412165546951085,0.4543756642324965,0.4405245210080743,0.5471158606610128,0.036142972550378634,0.055754121199575006
185,"POLYGON ((80.06560110108227 12.81378784847613, 80.06610110108227 12.81378784847613, 80.06610110108227 12.81328784847613, 80.06560110108227 12.81328784847613, 80.06560110108227 12.81378784847613))",-0.014109656828160837,0.3821982596343893,0.18309743304586049,0.4534801337135187,0.4850781758677026,0.5284023522768491,0.4579472369987589,0.6497965683753346,0.3890221703853898,0.6896027327759799,0.2268331185869493,0.681588105698421,0.6882826197607571,0.3447094391853539,0.5580477991362363,0.5412892223671002,0.5176833179571113,0.4314241523495916,0.4199482241091603,0.05729789430022945,0.3181447679484889,0.2912152093775641,0.011083417857946842,0.2302027927390403,0.3098069523977657,0.1628605522205214,0.0949205421685311,0.02302060915722286,0.21945024687348247,0.1923603907972858,0.456764063465057,0.5355614452519731,0.06557685517764203,0.6198386922961044,0.5811266378719496,0.7196810477325558,0.038546247039044086,0.053800125530252714
186,"POLYGON ((80.06560110108227 12.81328784847613, 80.06610110108227 12.81328784847613, 80.06610110108227 12.81278784847613, 80.06560110108227 12.81278784847613, 80.06560110108227 12.81328784847613))",-0.034940441904202875,0.21886984518276845,0.28260658036283964,0.4957927233127964,0.4643268004650807,0.6365164422724088,0.5601198512354406,0.8210329301833719,0.18063986565490356,0.7831552725352082,0.2971544579450707,0.7653313770080186,0.72625218980263,0.40315550429864294,0.5398366875717631,0.5835425199180019,0.5364200013748358,0.3597421344731291,0.3375526756010961,0.22222517653939444,0.2196356292212151,0.1905414710431849,0.010623393757778992,0.17055658754224212,0.17442367461080222,0.10109586013541158,0.04060784393562259,0.01818706203593849,0.17147321352170097,0.13082086395017276,0.3070312591107493,0.3320430568052865,0.06393850602663209,0.4613923681573441,0.5067780676338721,0.6052310106448521,0.03684040009111413,0.045277783922566976
187,"POLYGON ((80.06560110108227 12.81278784847613, 80.06610110108227 12.81278784847613, 80.06610110108227 12.81228784847613, 80.06560110108227 12.81228784847613, 80.06560110108227 12.81278784847613))",-0.0075890915068321215,0.2699926994881674,0.4468887771661267,0.5988070141976228,0.27356647647245685,0.7123464857909789,0.6762132957573885,0.8265911519868369,0.08049758356540287,0.7780303532704138,0.3238567156394924,0.7439607858621838,0.6986240770355127,0.3829288510912479,0.2462967376120966,0.4868098867919817,0.4434246522481713,0.2573199325367776,0.2463011514899994,0.019037585980283118,0.2188296865303122,0.2032484728162557,0.03105300684462375,0.18025888629383527,0.20113195653306093,0.17098419734347547,0.04944132089462459,0.0560560572797141,0.16511853178321326,0.10247616659134637,0.2298375912494731,0.25918396980301195,0.06369332909318356,0.3001102696748466,0.3436304322962768,0.4741424726872066,0.03596026972167676,0.04273386116668334
188,"POLYGON ((80.06560110108227 12.81228784847613, 80.06610110108227 12.81228784847613, 80.06610110108227 12.81178784847613, 80.06560110108227 12.81178784847613, 80.06560110108227 12.81228784847613))",-0.019076455041176374,0.21327370165098802,0.41841816914008506,0.4913100391571098,0.1875984673138348,0.6537274633215109,0.6577593210109186,0.8060081068692886,0.02604384674752624,0.7637530040804228,0.2884165672819599,0.7371916745060502,0.6902006479279339,0.3715338911758969,0.2341879170129054,0.4488942549413321,0.4260236271889903,0.2533355872246546,0.2399197307520014,0.008617425820031928,0.22916946508545516,0.20693503814272526,0.03093802844518798,0.17494487112457627,0.19162718371348045,0.14130240026441485,0.030612526873767774,0.05568317242451167,0.16509998437210882,0.10007009588575587,0.31465063407932503,0.4917861787710706,0.06445865867483243,0.5581404874726948,0.6399843754944684,0.7720353585761319,0.038262914796155865,0.04145929678170145
189,"POLYGON ((80.06560110108227 12.81178784847613, 80.06610110108227 12.81178784847613, 80.06610110108227 12.81128784847613, 80.06560110108227 12.81128784847613, 80.06560110108227 12.81178784847613))",-0.011665076180753782,0.24571101800254386,0.4587953358462506,0.5401386227824766,0.3937240808354487,0.6923458955175934,0.6836816584251776,0.8158735645389729,0.0066904730785539894,0.7647577120766502,0.21421612887744174,0.7451830098343539,0.6990789301720577,0.3145627975404294,0.3337609756239797,0.4710999326192584,0.4610104317040698,0.3170509745515823,0.2801532476473509,0.13604784356045554,0.23171387034604446,0.2276518177611004,0.016318612789584196,0.19991110588742472,0.19137162402172408,0.10893326030259017,0.027307339133580192,0.06800927977655695,0.17125451666544655,0.12582066103885936,0.33868448187512146,0.4686721413786039,0.06354175652834411,0.6224688353941442,0.7090674190763642,0.7552323929126631,0.03936887551814579,0.04180424671506621
190,"POLYGON ((80.06560110108227 12.81128784847613, 80.06610110108227 12.81128784847613, 80.06610110108227 12.81078784847612, 80.06560110108227 12.81078784847612, 80.06560110108227 12.81128784847613))",-0.006791247769129909,0.29849043582088075,0.3635208015201359,0.4236236629530335,0.4914599173500741,0.6221383222980682,0.5634948012956259,0.7466578730131794,0.016746959628980332,0.7392433430270882,0.2944350585243054,0.7725908513956827,0.7396696311079328,0.2264144530514579,0.3637703831968329,0.6654627730113202,0.7993032604475238,0.7034003567495337,0.6422262919896082,0.3931673305824697,0.4999449885159098,0.4495810741781383,0.018754908938246318,0.26352870582848564,0.2552820197822369,0.050660151272375116,0.004772147813959566,0.09567332761888574,0.19003097276587308,0.1134649670194508,0.2607269201340304,0.28656819765234504,0.0643536001379805,0.28675009295164844,0.41967924680455454,0.4633684506287266,0.03976341452481627,0.040369317322781005
191,"POLYGON ((80.06560110108227 12.81078784847612, 80.06610110108227 12.81078784847612, 80.06610110108227 12.81028784847612, 80.06560110108227 12.81028784847612, 80.06560110108227 12.81078784847612))",-0.0007124641513166383,0.31164355547966266,0.4135166112286916,0.520156148839455,0.6226530279980921,0.7345136304493585,0.6601505800686425,0.8283590874190946,0.004519348848009554,0.8030702998922757,0.6407825369605586,0.7799616555782274,0.7317541370307421,0.1630016949893573,0.26102389717483504,0.5719922316749687,0.5925182399483991,0.4920239793951359,0.4466926620309848,0.20224274902286485,0.3398618030885745,0.3254175226065133,0.02087290293477384,0.2397101453370521,0.2256976834927707,0.10308217542697884,-0.008690224739954506,0.064026150088693,0.1663255760047555,0.17097768597849913,0.319642617716154,0.4500595794355043,0.06548443178165922,0.561263186021204,0.6287353042792824,0.6791636327808223,0.041360098719260524,0.04520852246013712
